Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9294245385450597,0.9701956021604116,0.9209039548022598,0.8980716253443526,0.9093444909344491,0.8517614907503769
Decision Tree,0.9109663409337676,0.9077505257857165,0.8828337874659401,0.8925619834710744,0.8876712328767123,0.8139674214907683
KNN,0.9077090119435396,0.9505638002705451,0.8861111111111111,0.8787878787878788,0.8824343015214384,0.8064945879037795
Naive Bayes,0.8338762214983714,0.9449257975650939,0.7178423236514523,0.953168044077135,0.8189349112426035,0.6941136369901606
Random Forest,0.9457111834961998,0.9833846776662027,0.9484240687679083,0.9118457300275482,0.9297752808988764,0.8860103898913002
